folder,model,param,run,solver,policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime,SolverMemOut,SATClauses,SATVars,SolverFailures
nlink-4,nlink-opt-4,opt.12,4,minion,tabnolim,0.132315,0.119,0,0.002367,0.46,1,0,67,0,6,0.008981,,,,
nlink-4,nlink-opt-4,opt.12,3,kissat,tabnolim,0.36,0.447,0,,2.977,1,0,1082.0,0,,,0,642640,128556,
nlink-4,nlink-opt-4,opt.15,1,kissmdd,notab,0.24000000000000002,,0,,0.749,1,0,39449.0,0,,,0,11099,1526,
nlink-4,nlink-opt-4,opt.12,1,ortools,tab,2.809,0.121,0,,0.636,1,0,,0,,,,,,32
nlink-4,nlink-opt-4,opt.12,3,kissat,tab,0.36,0.234,0,,3.134,1,0,1082.0,0,,,0,642640,128556,
nlink-4,nlink-opt-4,opt.15,2,kissat,tabnolim,1.08,0.158,0,,1.414,1,0,642.0,0,,,0,2069922,413993,
nlink-4,nlink-opt-4,opt.15,1,chuffed,tabnolim,1.440,0.316,0,,2.295,1,0,253,0,,,,,,192
nlink-4,nlink-opt-4,opt.12,2,kissat,tabnolim,0.36,0.082,0,,0.94,1,0,1082.0,0,,,0,642640,128556,
nlink-4,nlink-opt-4,opt.15,3,ortools,tabnolim,6.013,0.254,0,,1.516,1,0,,0,,,,,,103
nlink-4,nlink-opt-4,opt.15,5,gecode,tab,0.356,0.04,0,,0.382,1,0,18445,0,,,,,,9211
nlink-4,nlink-opt-4,opt.15,4,ortools,notab,0.456,,0,,0.214,1,0,,0,,,,,,3513
nlink-4,nlink-opt-4,opt.15,5,kissat,notab,0.24000000000000002,,0,,0.875,1,0,40951.0,0,,,0,11099,1526,
nlink-4,nlink-opt-4,opt.15,1,gecode,tab,0.192,0.062,0,,0.304,1,0,18445,0,,,,,,9211
nlink-4,nlink-opt-4,opt.15,4,kissat,tabnolim,1.05,0.249,0,,1.481,1,0,642.0,0,,,0,2069922,413993,
nlink-4,nlink-opt-4,opt.12,3,ortools,notab,0.421,,0,,0.183,1,0,,0,,,,,,1875
nlink-4,nlink-opt-4,opt.12,2,chuffed,tab,0.136,0.063,0,,0.425,1,0,69,0,,,,,,31
nlink-4,nlink-opt-4,opt.15,1,kissmdd,tab,3.4200000000000004,0.076,0,,1.414,1,0,138383.0,0,,,0,158666,26681,
nlink-4,nlink-opt-4,opt.15,4,kissat,notab,0.21000000000000002,,0,,0.617,1,0,35662.0,0,,,0,11099,1526,
nlink-4,nlink-opt-4,opt.12,2,kissmdd,tabnolim,0.18,0.081,0,,2.597,1,0,2012.0,0,,,0,319678,1098,
nlink-4,nlink-opt-4,opt.12,1,kissmdd,tab,0.18,0.735,0,,5.844,1,0,2012.0,0,,,0,319678,1098,
nlink-4,nlink-opt-4,opt.15,4,ortools,tab,22.038,0.039,0,,1.399,1,0,,0,,,,,,94
nlink-4,nlink-opt-4,opt.12,2,gecode,tab,0.313,0.157,0,,0.858,1,0,110,0,,,,,,47
nlink-4,nlink-opt-4,opt.12,5,kissat,tabnolim,0.42,0.38,0,,3.7,1,0,1082.0,0,,,0,642640,128556,
nlink-4,nlink-opt-4,opt.12,2,kissmdd,tab,0.16,0.069,0,,0.923,1,0,2012.0,0,,,0,319678,1098,
